SLPID,ExpiryDate,SLPID_owner,principal_certificate,ApproveDate
CIDF15000220,2021-12-15T00:00:00,SIAE MICROELETTRONICA SDN. BHD.,"SIAE MICROELETTRONICA SPA,",2015-06-04T00:00:00
CIDF15000220,2018-06-20T00:00:00,DIGI TELECOMMUNICATIONS SDN. BHD.,"SIAE MICROELETTRONICA SPA,",2015-06-09T00:00:00
CIDF15000220,2017-06-22T00:00:00,CELCOM NETWORKS SDN. BHD.,"SIAE MICROELETTRONICA SPA,",2015-06-19T00:00:00
HIDF18000104,2022-08-03T00:00:00,SAPURA RESEARCH SDN. BHD.,"SIAE MICROELETTRONICA SPA,",2018-04-26T00:00:00
HIDF18000279,2019-12-12T00:00:00,GLOBAL SECURITY NETWORK (M) SDN BHD,VIDEOCOMM TECHNOLOGIES,2018-12-13T00:00:00
HIDF15000295,2018-07-18T00:00:00,RADIANCE CONVERGED COMMUNICATIONS SDN BHD,MITEL NETWORK LTD,2015-06-22T00:00:00
HIDF16000215,2017-10-24T00:00:00,MTL GLOBAL SYSTEM SDN BHD,MITEL NETWORK LTD,2016-10-25T00:00:00
CIDF15000402,2021-02-04T00:00:00,IVENUE SOLUTIONS SDN.BHD,DIGITAL DATA COMMINICATIONS ASIA CO. LTD.,2015-07-29T00:00:00
HIDF15000502,2021-08-17T00:00:00,ASTRATA (MALAYSIA) SDN BHD,ASTRATA (ASIA PACIFIC) PTE LTD,2015-10-06T00:00:00
CIDF18000086,2019-04-11T00:00:00,GLOBAL APPROVALS SDN BHD,PROMETHEAN LIMITED,2018-04-12T00:00:00
HIDF15000269,2022-07-14T00:00:00,O'CONNOR'S ENGINEERING SDN. BHD.,ZETRON AUSTRALASIA,2015-06-16T00:00:00
HIDF15000314,2018-03-13T00:00:00,CTCU TECHNOLOGIES (M) SDN. BHD.,CTCU UNION TECHNOLOGIES CO. LTD.,2015-06-25T00:00:00
HIDF15000328,2016-06-28T00:00:00,INTERNATIONAL AERADIO (M) SDN BHD,THALES ATM NAVIATION GMBH,2015-06-29T00:00:00
HIDF15000436,2017-10-17T00:00:00,INTERNATIONAL AERADIO (M) SDN BHD,THALES ATM NAVIATION GMBH,2015-08-17T00:00:00
HIDF15000442,2018-11-29T00:00:00,INTERNATIONAL AERADIO (M) SDN BHD,THALES ATM NAVIATION GMBH,2015-08-18T00:00:00
HIDF17000087,2021-10-05T00:00:00,RICOH (MALAYSIA) SDN. BHD.,RICOHCOMPANY LTD,2017-05-11T00:00:00
HIDF15000424,2022-01-19T00:00:00,BLUELOGIC ENTERPRISE SDN BHD,LOGITECH EUROPE S.A.,2015-08-12T00:00:00
HIDF15000272,2022-08-26T00:00:00,MCL BHD.,LOGITECH EUROPE S.A.,2015-06-17T00:00:00
HIDF15000494,2020-11-25T00:00:00,KRIYAN ENGINEERING SDN BHD,"BILLION ELECTRIC CO, LTD",2015-09-23T00:00:00
CIDF17000075,2018-04-20T00:00:00,TANAND TECHNOLOGY SDN BHD,"BILLION ELECTRIC CO, LTD",2017-04-21T00:00:00
HIDF16000261,2017-12-20T00:00:00,MOBILE88. COM. SDN BHD,CASTLES TECHNOLOGY CO.LTD,2016-12-21T00:00:00
HIDF15000041,2022-07-26T00:00:00,SOYOTECH (M) SDN. BHD.,SHENZEN KEWANG COMMUNICATIONS CO. LTD,2015-03-19T00:00:00
CIDF15000443,2021-10-13T00:00:00,RX TECHNOLOGY SDN. BHD.,COMEX TELEKOM CORP,2015-08-19T00:00:00
HIDF15000228,2016-06-07T00:00:00,JEBSEN & JESSEN COMMUNICATION SOLUTIONS (M) SDN. BHD.,AVAYA INC (HQ),2015-06-08T00:00:00
HIDF15000229,2018-03-20T00:00:00,OCEANMAX DATACOMMS SDN BHD,AVAYA INC (HQ),2015-06-08T00:00:00
HIDF15000148,2022-06-08T00:00:00,VNETWORK SYSTEM SDN. BHD.,AVAYA INC (HQ),2015-05-11T00:00:00
HIDF15000403,2016-07-28T00:00:00,FJT COMMUNICATIONS SYSTEMS SDN. BHD,"YOSIN ELECTRONICS CO, LTD",2015-07-29T00:00:00
HIDF16000083,2017-04-28T00:00:00,SATNIAGA COMMUNICATION SDN BHD,APPLIED SATELLITE TECHNOLOGY ASIA PTE LT,2016-04-29T00:00:00
CIDF17000038,2022-03-03T00:00:00,BMW MALAYSIA SDN. BHD.,"ALPS ALPINE CO., LTD",2017-03-07T00:00:00
