260,MBPP NIGHT SHELTER - TOWARDS TRIPLE NET - ZERO,8 MEI 2021,PERTUBUHAN AKITEK MALAYSIA (PAM),"BAYVIEW GEORGETOWN, 25 A, LEBUH FARQUHAR",FUNGSIONAL,KEJURUTERAAN AWAM,SMART ENVIRONMENT,BERSEMUKA (OFFLINE)
262, SESI EXECUTIVE TALK : ETIKA SIBER MALAYSIA,18 MEI 2021,INSTITUT LATIHAN PERUMAHAN DAN KERAJAAN TEMPATAN (I-KPKT),WEBEX,FUNGSIONAL,TEKNOLOGI MAKLUMAT,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
297,LATIHAN ACTIVE LEARNING SERIES-ENHANCING QUALITY DECISION THRU CRITICAL THINKING,20 MEI 2021,PRIMA LINK TRAINING & CONSULTANCY SDN BHD,ZOOM,GENERIK,KEPIMPINAN DAN PEMBANGUNAN EKSEKUTIF,SMART SOCIAL,"TIDAK BERSEMUKA
(ONLINE)"
304,TAKLIMAT TAKAFUL PENGHOSPITALAN DAN PEMBEDAHAN CUEPACSCARE & PROGRAM TAKAFUL KEMALANGAN DIRI PA- KHAS UNTUK PENJAWAT AWAM,20 MEI 2021,MAJLIS BANDARAYA PULAU PINANG (MBPP),ZOOM,GENERIK,KESELAMATAN,SMART SOCIAL,"TIDAK BERSEMUKA
(ONLINE)"
422,KURSUS PENGENDALIAN BUKU REKOD PERKHIDMATAN,21 MEI 2021,SEKSYEN PEMBANGUNAN MODAL INSAN PEJABAT KERAJAAN SETIAUSAHA NEGERI PULAU PINANG,ZOOM,GENERIK,PENGURUSAN PEJABAT,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
459,"KURSUS PENULISAN DOKUMEN RASMI KERAJAAN (MINIT MESYUARAT, KERTAS KERJA, LAPORAN)",24 MEI 2021,INSTITUT TADBIRAN AWAM NEGARA (INTAN),WEBINAR,FUNGSIONAL,PENGURUSAN REKOD AWAM,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
460,BENGKEL PENYEDIAAN LAPORAN TRAFFIC IMPACT ASSESSMENT (TIA) CHECKLIST & GUIDELINES FOR LOCAL COUNCILS,24 MEI 2021,PERSATUAN PIHAK BERKUASA TEMPATAN MALAYSIA (MALA) & THE INSTITUTION OF ENGINEERS MALAYSIA (IEM),WEBINAR,GENERIK,PENGURUSAN DAN KUALITI,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
480,"[POST- COVID19 ECONOMIC DEVELOPMENT SERIES 1] ACCELERATING DIGITAL TRANFORMATION, SHAPING POLICIES, BOOSTING SHARED PROSPERITY",26 & 28 MEI 2021,UNITED NATIONS INSTITUTE FOR TRAINING AND RESEARCH (UNITAR),WEBINAR,FUNGSIONAL,UNDANG-UNDANG DAN DASAR,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
483,EXECUTIVE TALK : PEGAWAI BERKUATKUASAAN BUKAN UNTUK DIGERUNI,27 MEI 2021,I-KPKT,WEBEX,GENERIK,KEPIMPINAN DAN PEMBANGUNAN EKSEKUTIF,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
496,PERC- MNCC & GLENEAGLES HOSPITAL COMLIMENTARY TALK ON STRESS MANAGEMENT & WORKOUT SESSION,29 MEI 2021,PERC- MNCC & GLENEAGLES HOSPITAL ,WEBINAR,GENERIK,KESIHATAN DAN KECERDASAN,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
BIL,NAMA KURSUS,TARIKH,ANJURAN,TEMPAT,JENIS TERAS,TERAS LATIHAN,DOMAINS,KAEDAH LATIHAN
,Kursus Pengurusan Fail dan Rekod Efektif,2 & 9 JUN 2021,,,FUNGSIONAL,PENGURUSAN REKOD AWAM,SMART GOVERNANCE,
1,COVID-19 : SEMBANG BERSAMA PESAKIT DAN KELUARGA,4 JUN 2021,PENANG YOUTH DEVELOPMENT CORPERATION (PYDC),WEBINAR,GENERIK,KESIHATAN DAN KECERDASAN,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
6,"MOTIVASI MEMPERKASA DIRI, MINDA-BEKERJA DALAM SITUASI PANDEMIK",4 JUN 2021,AKADEMIK PROFESIONAL INTELEK,WEBINAR,GENERIK,MOTIVASI DAN PEMANTAPAN DIRI,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
26,COVID-19 : SEMBANG BERSAMA SEKTOR KESIHATAN,5 JUN 2021,PENANG YOUTH DEVELOPMENT CORPERATION (PYDC),WEBINAR,GENERIK,KESIHATAN DAN KECERDASAN,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
35,WEGO E-GOVERMENT THEMATIC GROUP. - (L) - GOVERNANCE,7 JUN 2021,WEGO,WEBINAR,GENERIK,INOVASI DAN KREATIVITI,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
45,RESILIENT LEADERSHIP : FOSTERING ORGANIZATIONAL EXCELENCE,8 JUN 2021,RAZAK SCHOOL OF GOVERNMENT (RSOG),WEBINAR,GENERIK,KEPIMPINAN DAN PEMBANGUNAN EKSEKUTIF,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
56,PENGENALAN PEROLEHAN PERKHIDMATAN PERUNDING DAN TATCARA DAN KAEDAH PEROLEHAN PERKHIDMATAN PERUNDING,8 JUN 2021,LEMBAGA ARKITEK MALAYSIA (LAM),WEBINAR,FUNGSIONAL,PENGURUSAN PROJEK,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
58,GOOGLE WORKSPACE BERSAMA AWANTEC (Prestariang) - (T) - GOVERNANCE,9 JUN 2021,AWANTEC ( PRESTARIANG),WEBINAR,FUNGSIONAL,TEKNOLOGI MAKLUMAT,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
62,KURSUS KESELAMATAN SIBER BILL2/2021,10 JUN 2021,,,GENERIK,INFORMASI,SMART SOSIAL,
63,CYBERSECURITY EVOLTED,10 JUN 2021,SOPHOS,WEBINAR,GENERIK,INFORMASI,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
65,KURSUS ETIKET & PROTOKOL MAJLIS RASMI KERAJAAN,12 JUN 2021,API,WEBINAR,GENERIK,PROTOKOL DAN ETIKET SOSIAL,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
66,INFOGRAFICS CREATION IN ADOBE ILLUSTRATOR,13 JUN 2021,BRAINYMATION STUDIO SDN BHD,WEBINAR,GENERIK,INFORMASI,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
90,TRANSBOUNDARY PILOT PROJECT DESIGN WORKSHOP FOR THE IMT-GT THROUGH THE URBAN-ACT PROJECT,14 & 15 JUN 2021,UNESCAP,WEBINAR,FUNGSIONAL,PENGURUSAN PROJEK,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
91,TM ONE WEBINAR -  BUILDING DIGITAL TRUST AND CYBERSECURITY RESILIENCE,14 JUN 2021,TM ONE,WEBINAR,FUNGSIONAL,TEKNOLOGI MAKLUMAT,,
92,"KURSUS PROTOKOL , ETIKA DAN PENGURUSAN MAJLIS",15 JUN 2021,,,GENERIK,PROTOKOL DAN ETIKET SOSIAL,,
93,TRANSBOUNDARY CLIMATE CHANGE ACTION - DESIGN WORKSHOP DAY 1,14 JUN 2021,,,GENERIK,INFORMASI,,
94,TRANSBOUNDARY CLIMATE CHANGE ACTION - DESIGN WORKSHOP DAY 2,15 JUN 2021,,,GENERIK,INFORMASI,,
95,KURSUS PENGURUSAN PELANGGAN,15 JUN 2021,,,GENERIK,PENGURUSAN PEJABAT,SMART SOSIAL,
101,"KURSUS PROTOKOL , ETIKA DAN PENGURUSAN MAJLIS",16 JUN 2021,,,GENERIK,PROTOKOL DAN ETIKET SOSIAL,,
102,POST PANDEMIC URBAN RECOVERY- SMART HEALTH SOLUTION - ASIAN PERSPECTIVE,16 JUN 2021,,,GENERIK,KESIHATAN DAN KECERDASAN,,
103,DRIVING ENGAGEMENT & PRODUCTIVITY WHEN TEAMS GO REMOTE- INSIGHTS FROM THE WORLD OF WORK PSYCHOLOGY,16 JUN 2021,PRIMA LINK,WEBINAR,GENERIK,MOTIVASI DAN PEMANTAPAN DIRI,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
109,TECHNICAL CODES PROGRAMME 2021,16 & 17 JUN 2021,Malaysian Technical Standards Forum Bhd (MTSFB),WEBINAR,FUNGSIONAL,TEKNOLOGI MAKLUMAT,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
110,"KURSUS PROTOKOL , ETIKA DAN PENGURUSAN MAJLIS",17 JUN 2021,,,GENERIK,PROTOKOL DAN ETIKET SOSIAL,,
111,TAKLIMAT PELAKSANAAN IMUNISASI COVID-19,17 JUN 2021,MAJLIS BANDARAYA PULAU PINANG (MBPP),WEBINAR,GENERIK,KESIHATAN DAN KECERDASAN,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
165,THE FUTURE OF WORKS: THE DIGITAL WORKPLACE : RETHINK TODAY TO REDEFINE TOMORROW,17 JUN 2021,Konica Minolta Business Solutions (M) Sdn Bhd,WEBINAR,GENERIK,INFORMASI,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
171,KURSUS PANDUAN PENGURUSAN PERHUBUNGAN PELANGGAN DAN SERVIS KAUNTER: PEMATUHAN SOP KESELAMATAN,17 JUN 2021,,WEBINAR,GENERIK,KESELAMATAN,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
178,"TAKLIMAT PERSONAL PROTECTIVE EQUITMENT (PPE) TRAINING (FOOTWARE SAFETY, EYEWEAR SAFETY)",17 & 18 JUN 2021,MAJLIS BANDARAYA PULAU PINANG (MBPP),WEBINAR,FUNGSIONAL,KESIHATAN PERSEKITARAN,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
293,KURSUS WEBINAR : BEKERJA DARI RUMAH (B.D.R) : SEJAUH MANAKAH INTEGRITI DAN AKAUNTABILITI KAKITANGAN,18 JUN 2021,AKADEMIK PROFESIONAL INTELEK,WEBINAR,GENERIK,INTEGRITI,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
302,VIRTUAL DIALOGUE - UNLOCKING THE POWER OF HYBRID CLOUND AND TRANSFORMATION,18 JUN 2021,STAR MEDIA GROUP,WEBINAR,GENERIK,INFORMASI,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
305,"KURSUS PROTOKOL , ETIKA DAN PENGURUSAN MAJLIS",18 JUN 2021,,,GENERIK,PROTOKOL DAN ETIKET SOSIAL,,
307,BAHASA MANDARIN UNTUK INTERAKSI HARIAN,21 - 25 JUN 2021,,,GENERIK,INFORMASI,,
308,SMART CITY HANDBOOK MALAYSIA LAUNCH EVENT,22 JUN 2021,Kementerian Perumahan dan Kerajaan Tempatan (KPKT),WEBINAR,FUNGSIONAL,PENGURUSAN PROJEK,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
310,KURSUS KEPENTINGAN KESELAMATAN DITAPAK BINA ,22 JUN 2021,,WEBINAR,FUNGSIONAL,PENGURUSAN PROJEK,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
311,MEMBINA BANDAR LESTARI DAN PEKA TERHADAP PERUBAHAN IKLIM SEMASA PANDEMIK,22 JUN 2021,,WEBINAR,FUNGSIONAL,PENGURUSAN AMALAN HIJAU,SMART ENVIRONMENT,"TIDAK BERSEMUKA
(ONLINE)"
312,TAX IMPLICATIONS AND MANAGEMENT FOR REAL ESTATE PRACTITIONERS,22 JUN 2021,HARTAMAS ACADEMY RESOURCES SDN BHD,WEBINAR,FUNGSIONAL,PENGURUSAN HARTA,SMART ECONOMY,"TIDAK BERSEMUKA
(ONLINE)"
321,ONLINE ACADEMIC WORKSHOP OF DIGITAL ECONOMY FOR ASEAN SENIOR TALENTS,22 - 26 JUN 2021,"Guangxi KingPei Education Development Co., Ltd",WEBINAR,GENERIK,INOVASI DAN KREATIVITI,SMART ECONOMY,"TIDAK BERSEMUKA
(ONLINE)"
337,WEGO INVITES YOU TO THE SOLUTION MEET CITIES WEBINAR & AFSCN SEMINAR,22 & 29 JUN 2021,WEGO,WEBINAR,FUNGSIONAL,PENGURUSAN PROJEK,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
355,ALL YOU WANT TO KNOW ABOUT : BACK PROTECTION AND EXERCISE PROGRAM AT WORKPLACE,23 JUN 2021,,WEBINAR,GENERIK,KESIHATAN DAN KECERDASAN,SMART SOSIAL,"TIDAK BERSEMUKA
(ONLINE)"
356,PROGRAM SHARING HRMIS APPLICATION KNOWLEDGE & EXPERIENCE (SHARE),23 JUN 2021,,WEBINAR,FUNGSIONAL,PENGURUSAN REKOD AWAM,SMART GOVERNANCE,"TIDAK BERSEMUKA
(ONLINE)"
357,PLASTIX SUSTAINABILITY LEADERSHIP WEBINAR,23 JUN 2021,,WEBINAR,GENERIK,KEPIMPINAN DAN PEMBANGUNAN EKSEKUTIF,SMART ENVIRONMENT,"TIDAK BERSEMUKA
(ONLINE)"
