BIL,NAMA_KURSUS,TARIKH_MULA,TARIKH_AKHIR,ANJURAN,TEMPAT,JENIS_TERAS,TERAS_LATIHAN,DOMAINS,KAEDAH_LATIHAN
178,"TAKLIMAT PERSONAL PROTECTIVE EQUITMENT (PPE) TRAINING (FOOTWARE SAFETY, EYEWEAR SAFETY)",2021-06-17,2021-06-18,7466eef1-51ea-4860-9813-b22cf45e2a4e,WEBINAR,FN,f999f1a9-28c8-4906-9022-42f514e98a58,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
293,KURSUS WEBINAR : BEKERJA DARI RUMAH (B.D.R) : SEJAUH MANAKAH INTEGRITI DAN AKAUNTABILITI KAKITANGAN,2021-06-18,2021-06-18,edd171ab-57b7-44b6-a29f-38d108dea04f,WEBINAR,GN,0543e995-7f94-45c4-a1a3-9712aa7dbabb,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
302,VIRTUAL DIALOGUE - UNLOCKING THE POWER OF HYBRID CLOUND AND TRANSFORMATION,2021-06-18,2021-06-18,STAR MEDIA GROUP,WEBINAR,GN,4243a7ab-99bd-472b-a76d-1bbd45eb06d8,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
305,"KURSUS PROTOKOL , ETIKA DAN PENGURUSAN MAJLIS",2021-06-18,2021-06-18,7466eef1-51ea-4860-9813-b22cf45e2a4e,,GN,216b7542-ffcc-4125-842d-7f40d5d7e3f5,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
307,BAHASA MANDARIN UNTUK INTERAKSI HARIAN,2021-06-21, 25 JUNE 2021,7466eef1-51ea-4860-9813-b22cf45e2a4e,,GN,4243a7ab-99bd-472b-a76d-1bbd45eb06d8,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
308,SMART CITY HANDBOOK MALAYSIA LAUNCH EVENT,2021-06-22,2021-06-22,c85b8f2b-795c-40c0-9a43-b2f322b1c412,WEBINAR,FN,0f54455b-c897-40cb-bb67-ff1769466226,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
310,KURSUS KEPENTINGAN KESELAMATAN DITAPAK BINA ,2021-06-22,2021-06-22,7466eef1-51ea-4860-9813-b22cf45e2a4e,WEBINAR,FN,0f54455b-c897-40cb-bb67-ff1769466226,2f540625-6835-4afc-8938-903a85b34155,TB
311,MEMBINA BANDAR LESTARI DAN PEKA TERHADAP PERUBAHAN IKLIM SEMASA PANDEMIK,2021-06-22,2021-06-22,7466eef1-51ea-4860-9813-b22cf45e2a4e,WEBINAR,FN,fd5c820c-c63f-4276-8d74-9c5555a73a69,0f08f1f3-c9a4-4d00-b748-43e4e53fd58d,TB
312,TAX IMPLICATIONS AND MANAGEMENT FOR REAL ESTATE PRACTITIONERS,2021-06-22,2021-06-22,7f49019d-bd09-4a06-9492-6cb73acca1dd,WEBINAR,FN,100a4423-5c8d-4cc5-ac76-aacfa3828403,22f3a100-5842-448b-93f2-df7fb7fdcc2e,TB
321,ONLINE ACADEMIC WORKSHOP OF DIGITAL ECONOMY FOR ASEAN SENIOR TALENTS,2021-06-22, 26 JUNE 2021,490d2cde-5195-44df-b12d-abe4ffbe8701,WEBINAR,GN,2481ba73-4476-434c-a3c3-5a911fb1fa2e,22f3a100-5842-448b-93f2-df7fb7fdcc2e,TB
337,WEGO INVITES YOU TO THE SOLUTION MEET CITIES WEBINAR & AFSCN SEMINAR,2021-06-22, 29 JUNE 2021,WEGO,WEBINAR,FN,0f54455b-c897-40cb-bb67-ff1769466226,2f540625-6835-4afc-8938-903a85b34155,TB
355,ALL YOU WANT TO KNOW ABOUT : BACK PROTECTION AND EXERCISE PROGRAM AT WORKPLACE,2021-06-23,2021-06-23,7466eef1-51ea-4860-9813-b22cf45e2a4e,WEBINAR,GN,aaf2682c-20a1-4c71-9034-20d40d70a369,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
356,PROGRAM SHARING HRMIS APPLICATION KNOWLEDGE & EXPERIENCE (SHARE),2021-06-23,2021-06-23,7466eef1-51ea-4860-9813-b22cf45e2a4e,WEBINAR,FN,d2addd1d-4b15-4115-9ec3-9468b26721d6,2f540625-6835-4afc-8938-903a85b34155,TB
357,PLASTIX SUSTAINABILITY LEADERSHIP WEBINAR,2021-06-23,2021-06-23,7466eef1-51ea-4860-9813-b22cf45e2a4e,WEBINAR,GN,83c36b75-c03e-418d-a410-71d146006b8e,0f08f1f3-c9a4-4d00-b748-43e4e53fd58d,TB
358,WMAM MASTERCLASS SERIES CONFIRMATION - PRACTICAL CHANGES THAT IMPACT CONSUMER & BUSSNIESS,2021-06-23,2021-06-23,ea178e63-b442-44bb-97f1-9c64b9747e0f,WEBINAR,GN,ac803436-f75e-49cc-a7af-9dd49e6b8486,0f08f1f3-c9a4-4d00-b748-43e4e53fd58d,TB
382,"""WORK IN PROGRESS""",2021-06-23,2021-06-23,b3c52fb6-74e1-4cae-abdc-901b2a65e781,WEBINAR,GN,6dde3724-7416-45f0-8fc8-e1c0cb92aef6,2f540625-6835-4afc-8938-903a85b34155,TB
387,WMAM MASTERCLASS SERIES,2021-06-23,2021-06-23,ea178e63-b442-44bb-97f1-9c64b9747e0f,WEBINAR,GN,4243a7ab-99bd-472b-a76d-1bbd45eb06d8,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
388,TAKLIMAT VAKSIN COVID-19,2021-06-23,2021-06-23,7466eef1-51ea-4860-9813-b22cf45e2a4e,WEBINAR,GN,aaf2682c-20a1-4c71-9034-20d40d70a369,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
511,KEMAHIRAN KOMUNIKASI POWER DI PERSEKITARAN PEJABAT,2021-06-25,2021-06-25,edd171ab-57b7-44b6-a29f-38d108dea04f,WEBINAR,GN,4c398e32-d9f6-4d04-9d0d-6aa3e028c158,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
548,PENANG CONSTRUCTION INDUSTRY GO DIGITAL ( TOPIC: BIM AND DIGITAL MODELING),2021-06-25,2021-06-25,833fea23-b366-4189-b72c-29b2173f3405,WEBINAR,FN,ead68422-4e58-435c-89e4-de8735341dd9,2f540625-6835-4afc-8938-903a85b34155,TB
555,TAKLIMAT VAKSIN COVID-19,2021-06-28,2021-06-28,7466eef1-51ea-4860-9813-b22cf45e2a4e,WEBINAR,GN,aaf2682c-20a1-4c71-9034-20d40d70a369,0964adc3-2538-49f1-94dc-53aa434b8aa8,TB
574,HER 15 MINUTE CITY,2021-06-28,2021-06-28,9bad2bbe-78a0-4ef2-b7d4-9250670adb39,WEBINAR,FN,4624d854-ce8d-46a7-9cc7-4721cfadc45e,2f540625-6835-4afc-8938-903a85b34155,TB
578,BENGKEL PERBINCANGAN BERSAMA PEMEGANG TARUH UNTUK PELAN PEMBANGUNAN BAS ELEKTRIK KEBANGSAAN.,2021-06-28,2021-06-28,d099f620-ae9a-458a-865c-f4b962ef1d63,WEBINAR,FN,0f54455b-c897-40cb-bb67-ff1769466226,0f08f1f3-c9a4-4d00-b748-43e4e53fd58d,TB
579,BENGKEL PERBINCANGAN BERSAMA PEMEGANG TARUH UNTUK PELAN PEMBANGUNAN BAS ELEKTRIK KEBANGSAAN.,2021-06-28,2021-06-28,d099f620-ae9a-458a-865c-f4b962ef1d63,WEBINAR,FN,0f54455b-c897-40cb-bb67-ff1769466226,0f08f1f3-c9a4-4d00-b748-43e4e53fd58d,TB
